03-12 12:44:32.129 24690 24700 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7c7428afe0 in tid 24700 (binder:24690_1), pid 24690 (com.prology)
03-12 12:44:32.992 30455 30455 F DEBUG   : Cmdline: com.prology
03-12 12:44:32.992 30455 30455 F DEBUG   : pid: 24690, tid: 24700, name: binder:24690_1  >>> com.prology <<<
03-12 13:48:04.145  9763  9982 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7ae08f2c48 in tid 9982 (binder:9763_7), pid 9763 (com.prology)
03-12 13:48:04.464 12991 12991 F DEBUG   : Cmdline: com.prology
03-12 13:48:04.464 12991 12991 F DEBUG   : pid: 9763, tid: 9982, name: binder:9763_7  >>> com.prology <<<
03-12 13:55:52.631  2006  2273 W PackageManager: Existing package com.prology signatures do not match newer version; ignoring!
03-12 13:55:52.635  2006  2273 D PackageInstallerSession: Marking session 905118457 as failed: INSTALL_FAILED_UPDATE_INCOMPATIBLE: Existing package com.prology signatures do not match newer version; ignoring!
03-12 13:55:52.635  2006  2273 I PackageInstallerSession: Session [905118457] was destroyed because of [Session marked as failed: INSTALL_FAILED_UPDATE_INCOMPATIBLE: Existing package com.prology signatures do not match newer version; ignoring!]
03-12 13:56:52.326  2006  2322 W ActivityManager: Invalid packageName: com.prology
03-12 13:56:54.449  2006  2110 I ActivityManager: Force stopping com.prology appid=10790 user=-1: deletePackageX
03-12 13:56:54.451  2006  2273 I AppsFilter: interaction: PackageSetting{2c92f1b org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{564d8ef com.prology/10790} BLOCKED
03-12 13:56:54.453  2006  2273 I AppsFilter: interaction: PackageSetting{2c92f1b org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{564d8ef com.prology/10790} BLOCKED
03-12 13:56:54.660  2006  2440 D BackgroundInstallControlService: handlePackageRemove: removing com.prology from 0
03-12 13:56:54.697  2006  2273 I ActivityManager: Force stopping com.prology appid=10790 user=10: pkg removed
03-12 13:56:54.700  2006  2273 I ActivityManager: Force stopping com.prology appid=10790 user=10: pkg removed
03-12 13:56:54.719  2006  2340 I RollbackManager: broadcast=ACTION_PACKAGE_FULLY_REMOVED pkg=com.prology
03-12 13:56:54.817  2006  2109 D LauncherAppsService: onPackageRemoved: Skipping - profile not enabled or not accessible for user=UserHandle{10}, packageName=com.prology
03-12 13:56:54.818  2006  2109 D LauncherAppsService: onPackageRemoved: triggering onPackageRemoved for user=UserHandle{10}, packageName=com.prology
03-12 13:56:54.828  2006  2109 D LauncherAppsService: onPackageRemoved: triggering onPackageRemoved for user=UserHandle{10}, packageName=com.prology
03-12 13:56:55.079  2006  2006 I ConditionProviders: Disallowing condition provider com.prology (userSet: true)
03-12 13:57:15.490  2006  2273 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.prology token=1e restoreSet=0
03-12 13:57:15.498  2006  2273 I AppsFilter: interaction: PackageSetting{4a6928a org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{f90cc2d com.prology/10791} BLOCKED
03-12 13:57:15.553  2006  2439 D ShortcutService: adding package: com.prology userId=0
03-12 13:57:15.695  2006  2006 I AppsFilter: interaction: PackageSetting{9a11621 org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{cdaaa46 com.prology/10791} BLOCKED
03-12 13:57:15.743  2006  2439 D ShortcutService: changing package: com.prology userId=0
03-12 13:57:16.299  2006  2109 D LauncherAppsService: onPackageAdded: triggering onPackageAdded for user=UserHandle{0}, packageName=com.prology
03-12 13:57:16.300  2006  2109 D LauncherAppsService: onPackageAdded: triggering onPackageAdded for user=UserHandle{0}, packageName=com.prology
03-12 13:57:16.300  2006  2109 D LauncherAppsService: onPackageAdded: triggering onPackageAdded for user=UserHandle{0}, packageName=com.prology
03-12 13:57:34.701  2006  2042 I ActivityManager: Force stopping com.prology appid=10791 user=-1: set debug app
03-12 13:57:44.588  2006  4069 I ActivityManager: Force stopping com.prology appid=10791 user=-1: set debug app
03-12 13:57:44.652  2006  2875 I ActivityManager: Force stopping com.prology appid=10791 user=-1: set debug app
03-12 13:57:53.590  2006  2322 I ActivityManager: Force stopping com.prology appid=10791 user=-1: set debug app
03-12 13:57:53.660  2006  2869 I ActivityManager: Force stopping com.prology appid=10791 user=-1: set debug app
03-12 14:01:58.129  2006  2875 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.prology/com.ryanheise.audioservice.AudioServiceActivity} with LAUNCH_SINGLE_TOP from uid 0 (BAL_ALLOW_ALLOWLISTED_UID) result code=0
